date	tag	published	downloads
2026-09-11	v4.1.5	2026-09-11	2
2026-09-11	v4.1.4	2026-09-11	6
2026-09-11	v4.1.3	2026-09-09	58
2026-09-11	v4.1.2	2026-09-08	29
2026-09-11	v4.1.1	2026-09-06	53
2026-09-11	v4.1.0	2026-09-06	6
2026-09-11	v4.0.4	2026-09-05	38
2026-09-11	v4.0.3	2026-09-04	28
2026-09-11	v4.0.2	2026-09-04	3
2026-09-11	v4.0.1	2026-09-03	83
2026-09-11	v4.0.0	2026-09-03	10
2026-09-11	v3.1.0	2026-08-26	379
2026-09-11	v3.0.0	2026-07-13	630
2026-09-11	v2.4.3	2026-06-22	393
2026-09-11	v2.4.2	2026-06-22	26
2026-09-11	v2.4.1	2026-06-03	362
2026-09-11	v2.4.0	2026-06-02	53
2026-09-11	v2.3.4	2026-05-19	272
2026-09-11	v2.3.3	2026-05-19	15
2026-09-11	v2.3.2	2026-05-18	24
2026-09-11	v2.3.0	2026-05-11	344
2026-09-11	v2.2.2	2026-05-11	3
2026-09-11	v2.2.1	2026-03-20	236
2026-09-11	v2.2.0	2026-03-20	7
2026-09-11	v2.1.2	2026-02-08	102
2026-09-11	v2.1.1	2026-02-07	18
2026-09-11	v2.1.0	2026-02-07	9
2026-09-11	v2.0.6	2026-02-06	9
2026-09-11	v2.0.5	2026-02-06	29
2026-09-11	v2.0.4	2026-02-06	4
2026-09-11	v2.0.3	2026-02-05	60
2026-09-11	v2.0.2	2026-02-05	4
2026-09-11	v2.0.1	2026-01-12	304
2026-09-14	v4.1.8	2026-09-14	2
2026-09-14	v4.1.7	2026-09-13	42
2026-09-14	v4.1.6	2026-09-11	49
2026-09-14	v4.1.5	2026-09-11	5
2026-09-14	v4.1.4	2026-09-11	7
2026-09-14	v4.1.3	2026-09-09	63
2026-09-14	v4.1.2	2026-09-08	31
2026-09-14	v4.1.1	2026-09-06	56
2026-09-14	v4.1.0	2026-09-06	7
2026-09-14	v4.0.4	2026-09-05	42
2026-09-14	v4.0.3	2026-09-04	30
2026-09-14	v4.0.2	2026-09-04	4
2026-09-14	v4.0.1	2026-09-03	85
2026-09-14	v4.0.0	2026-09-03	11
2026-09-14	v3.1.0	2026-08-26	410
2026-09-14	v3.0.0	2026-07-13	631
2026-09-14	v2.4.3	2026-06-22	394
2026-09-14	v2.4.2	2026-06-22	27
2026-09-14	v2.4.1	2026-06-03	363
2026-09-14	v2.4.0	2026-06-02	54
2026-09-14	v2.3.4	2026-05-19	273
2026-09-14	v2.3.3	2026-05-19	16
2026-09-14	v2.3.2	2026-05-18	25
2026-09-14	v2.3.0	2026-05-11	345
2026-09-14	v2.2.2	2026-05-11	4
2026-09-14	v2.2.1	2026-03-20	238
2026-09-14	v2.2.0	2026-03-20	8
2026-09-14	v2.1.2	2026-02-08	103
2026-09-14	v2.1.1	2026-02-07	19
2026-09-14	v2.1.0	2026-02-07	10
2026-09-14	v2.0.6	2026-02-06	9
2026-09-14	v2.0.5	2026-02-06	30
2026-09-14	v2.0.4	2026-02-06	5
2026-09-14	v2.0.3	2026-02-05	60
2026-09-14	v2.0.2	2026-02-05	4
2026-09-14	v2.0.1	2026-01-12	304
